Date,Company Name,Sector,Summary,Amount
2024-09-16,Supermaven,Technology,"Supermaven is an AI-powered code completion tool provider that provides a copilot for code completion, with plans to develop a new text editor product to accelerate day-to-day tasks for experienced developers.",$12M
2024-09-16,VFN Holdings (Vero Networks),Telecommunications,"a fiber infrastructure operator and broadband internet provider that designs, builds, owns and manages fiber infrastructure services to retail consumers, K-12 schools, governments entities, enterprises, wireless and wireline carriers and hyperscale/cloud providers.",$80M
2024-09-16,Bitstaker,Finance,Bitstaker provides a decentralized finance (DeFi) staking platform that aims to simplify staking for both retail and institutional investors while improving user experience and security.,
2024-09-16,Aucctus,Technology,"Aucctus is a Toronto, Canada-based AI startup providing an enterprise innovation management platform. The company intends to use the funds to expand its team of AI and machine learning engineers, further developing its proprietary technologies and enhancing the platform's capabilities.",$1.5M
2024-09-16,TeamBridge,Workforce OS,"Empowering hourly workforces with a composable workforce OS that brings the entire team into one place, featuring AI-powered automation and organization of various workplace tools.",$28M
2024-09-16,Peratech,Technology,"Peratech is a company that brings a new dimension to tactile user interfaces, enabling intuitive, consistent experiences in a wide variety of applications and markets based on patented Quantum Tunnelling Composite (QTC) technology and Hydra user interface as-a-service software.",$31.5M
2024-09-16,Wealth.com,Financial Services,"Wealth.com is a Phoenix, AZ-based provider of an end-to-end estate planning platform, that provides a platform empowering 500+ wealth management firms to modernize the delivery of estate planning guidance to their clients.",$30M
2024-09-16,ONL Therapeutics,Biotechnology,ONL Therapeutics is a clinical-stage biopharmaceutical company focused on advancing treatments of geographic atrophy (GA) associated with dry age-related macular degeneration (AMD).,$65M
2024-09-16,Two Boxes,Logistics,Two Boxes offers a proven logistics solution provider that offers a way for brands and 3PLs to process returns and capture critical data from the return process.,$5.3M
2024-09-16,Akur8,Finance/Insurance,"Akur8 is a Paris, France-based provider of a machine learning-powered insurance pricing and reserving platform that combines technology with actuarial excellence to drive business value, bringing speed, performance, transparency, and reliability to insurers of all sizes.",$120M
2024-09-16,Unite,Technology,"Unite is a groundbreaking Layer 3 blockchain solution built on Base that is working to bring the mobile gaming industry's $90 billion revenue and 2.8 billion players into the world of web3, setting a new standard for blockchain-based gaming experiences. It has launched its inaugural in-game season for the popular casual mobile game, Mom's Kitchen: Cooking Games, and has established itself as a key player in web3 mobile gaming infrastructure with over 5 million downloads across its suite of games on iOS and Android.",$3 million
2024-09-16,Onboard,Financial Technology,"Onboard is a digital money app and global P2P exchange that has evolved into a comprehensive platform and ecosystem designed to empower onchain builders and creators globally, making the onchain economy universally accessible.",$
2024-09-16,Switch,Technology,"Switch delivers a comprehensive portfolio of solutions encompassing highly dense, liquid-cooled AI environments, hyperscale cloud infrastructure and highly secure enterprise data centers.",$4.25 Billion
2024-09-16,The Vitreus Foundation,Decentralized AI Blockchain Technology,The Vitreus Foundation is a provider of a Layer 0 blockchain platform designed to efficiently empower innovation through its multi-token economics and Decentralized Physical Infrastructure Network (DePIN).,$15M
